game,colour,result,plies,max_quiet,final_quiet,durable_ge2
1,White,WIN,105,+5,+5,yes
2,Black,WIN,64,+5,+5,yes
3,White,WIN,79,+3,+3,yes
4,Black,WIN,134,+2,+2,no
5,White,WIN,91,+4,+4,yes
6,Black,WIN,76,+3,+3,yes
7,White,WIN,67,+4,+4,no
8,Black,WIN,96,+2,+2,no
9,White,WIN,79,+3,+3,yes
10,Black,WIN,60,+6,+6,yes
11,White,WIN,91,+4,+4,yes
12,Black,WIN,66,+5,+5,yes
13,White,WIN,71,+5,+5,yes
14,Black,WIN,116,+2,+2,no
15,White,WIN,65,+6,+6,yes
16,Black,WIN,56,+4,+4,no
17,White,WIN,89,+3,+3,yes
18,Black,WIN,60,+3,+3,no
19,White,WIN,87,+2,+2,yes
20,Black,WIN,88,+2,+2,no
21,White,WIN,107,+4,+3,yes
22,Black,WIN,100,+2,+2,no
23,White,WIN,91,+3,+3,yes
24,Black,WIN,128,+2,+2,no
25,White,WIN,137,+4,+4,yes
26,Black,WIN,90,+3,+3,yes
27,White,WIN,65,+4,+4,no
28,Black,WIN,56,+4,+4,yes
29,White,WIN,69,+4,+4,no
30,Black,WIN,54,+5,+5,yes
