cycle,arena_score,promoted
1,0.8333,1
2,0.9167,1
3,0.7292,1
4,0.5903,1
5,0.5764,1
6,0.6167,1
7,0.5556,1
8,0.6042,1
9,0.6007,1
10,0.5262,0
11,0.6042,1
12,0.75,1
13,0.6146,1
14,0.5475,1
15,0.5387,0
16,0.5795,1
17,0.5625,1
18,0.5972,1
19,0.5685,1
20,0.4732,0
21,0.5547,1
22,0.5833,1
23,0.5583,1
24,0.5212,0
25,0.5262,0
26,0.54,0
27,0.5556,1
28,0.5506,1
29,0.5938,1
30,0.5039,0
31,0.53,0
32,0.5604,1
33,0.52,0
34,0.4856,0
35,0.5545,1
36,0.5038,0
37,0.6389,1
38,0.4905,0
39,0.5312,0
40,0.553,1
41,0.4838,0
42,0.5671,1
43,0.4792,0
44,0.535,0
45,0.5648,1
46,0.5337,0
47,0.5062,0
48,0.5729,1
49,0.4938,0
50,0.4965,0
51,0.5714,1
52,0.4688,0
53,0.5833,1
54,0.5125,0
55,0.5325,0
56,0.53,0
57,0.5125,0
58,0.4427,0
59,0.5513,1
60,0.4618,0
61,0.4762,0
62,0.5337,0
63,0.5602,1
64,0.5014,0
65,0.5651,1
66,0.5062,0
67,0.5538,1
68,0.5162,0
69,0.5175,0
70,0.535,0
71,0.6198,1
72,0.5138,0
73,0.4583,0
74,0.4818,0
75,0.5469,1
76,0.5,0
77,0.5188,0
78,0.4983,0
79,0.5188,0
80,0.5312,0
81,0.5646,1
82,0.5212,0
83,0.5138,0
84,0.5532,1
85,0.4938,0
86,0.5112,0
87,0.5833,1
88,0.5175,0
89,0.5188,0
90,0.5363,0
91,0.5138,0
92,0.5587,1
93,0.4757,0
94,0.5469,1
95,0.4766,0
96,0.505,0
97,0.5437,1
98,0.5275,0
99,0.53,0
100,0.5461,1
