cycle,arena_share,arena_s,dist_parity,promoted
1,14.72,44.4,0.3333,1
2,13.31,41.6,0.4167,1
3,26.01,111.7,0.2292,1
4,48.1,312.1,0.0903,1
5,50.53,319.4,0.0764,1
6,43.7,248.1,0.1167,1
7,66.82,642.8,0.0556,1
8,44.73,254.9,0.1042,1
9,49.49,314.6,0.1007,1
10,71.38,1027.9,0.0262,0
11,42.64,319.9,0.1042,1
12,15.52,63.6,0.25,1
13,40.14,256.6,0.1146,1
14,71.95,1070.7,0.0475,1
15,72.97,1149.9,0.0387,0
16,65.3,738.6,0.0795,1
17,60.83,603.3,0.0625,1
18,45.3,313.0,0.0972,1
19,52.62,416.0,0.0685,1
20,20.06,381.6,0.0268,0
21,71.85,999.6,0.0547,1
22,45.25,392.5,0.0833,1
23,61.85,675.6,0.0583,1
24,73.1,1122.6,0.0212,0
25,74.25,1198.7,0.0262,0
26,67.83,854.7,0.04,0
27,61.02,688.1,0.0556,1
28,68.69,837.4,0.0506,1
29,48.2,356.4,0.0938,1
30,54.25,810.3,0.0039,0
31,71.0,855.8,0.03,0
32,60.62,526.0,0.0604,1
33,71.28,885.4,0.02,0
34,65.13,641.5,0.0144,0
35,66.32,680.7,0.0545,1
36,70.93,852.4,0.0038,0
37,30.41,157.6,0.1389,1
38,61.21,560.0,0.0095,0
39,71.32,861.2,0.0312,0
40,30.14,581.7,0.053,1
41,56.41,459.1,0.0162,0
42,55.62,440.5,0.0671,1
43,50.55,344.9,0.0208,0
44,71.81,894.4,0.035,0
45,56.59,445.6,0.0648,1
46,70.83,875.4,0.0337,0
47,71.79,877.3,0.0062,0
48,55.66,427.1,0.0729,1
49,59.39,510.4,0.0062,0
50,42.27,598.4,0.0035,0
51,52.0,355.8,0.0714,1
52,44.5,286.3,0.0312,0
53,44.57,277.9,0.0833,1
54,71.43,864.2,0.0125,0
55,71.62,874.4,0.0325,0
56,72.05,891.0,0.03,0
57,71.87,884.4,0.0125,0
58,36.43,198.5,0.0573,0
59,65.29,675.1,0.0513,1
60,13.93,311.3,0.0382,0
61,52.18,371.7,0.0238,0
62,71.25,868.7,0.0337,0
63,57.15,476.1,0.0602,1
64,69.51,793.2,0.0014,0
65,54.29,429.8,0.0651,1
66,72.94,909.8,0.0062,0
67,65.62,652.5,0.0538,1
68,70.73,864.0,0.0162,0
69,71.2,878.3,0.0175,0
70,51.32,897.0,0.035,0
71,38.09,214.3,0.1198,1
72,71.4,878.3,0.0138,0
73,42.93,265.9,0.0417,0
74,54.79,422.9,0.0182,0
75,69.86,835.8,0.0469,1
76,65.89,678.9,0.0,0
77,69.87,861.0,0.0188,0
78,64.09,628.4,0.0017,0
79,72.51,912.3,0.0188,0
80,40.14,915.2,0.0312,0
81,59.61,525.2,0.0646,1
82,73.68,1078.5,0.0212,0
83,72.14,1123.4,0.0138,0
84,58.07,629.5,0.0532,1
85,54.74,624.3,0.0062,0
86,72.4,1297.5,0.0112,0
87,48.26,412.5,0.0833,1
88,71.04,1081.7,0.0175,0
89,74.45,1262.6,0.0188,0
90,52.72,1266.6,0.0363,0
91,71.91,1155.1,0.0138,0
92,63.39,780.1,0.0587,1
93,38.84,308.7,0.0243,0
94,69.5,826.2,0.0469,1
95,53.15,408.3,0.0234,0
96,71.65,901.8,0.005,0
97,73.57,989.1,0.0437,1
98,72.91,1236.8,0.0275,0
99,69.34,1114.1,0.03,0
100,33.96,909.9,0.0461,1
