cycle,plies_mean,draw_rate
1,120.62,0.5975
2,134.09,0.55
3,149.47,0.5025
4,156.41,0.465
5,144.27,0.4075
6,141.04,0.3575
7,142.83,0.3325
8,141.15,0.285
9,141.88,0.335
10,141.31,0.3325
11,138.26,0.27
12,140.62,0.3075
13,145.48,0.3125
14,149.53,0.3825
15,154.0,0.375
16,137.43,0.2975
17,146.27,0.35
18,149.75,0.42
19,146.75,0.3925
20,152.19,0.4175
21,146.18,0.35
22,146.82,0.3625
23,147.13,0.375
24,152.22,0.38
25,148.31,0.3575
26,150.38,0.375
27,147.75,0.3675
28,147.0,0.39
29,144.28,0.3525
30,149.56,0.3975
31,154.59,0.4425
32,151.89,0.4125
33,155.83,0.4475
34,150.38,0.38
35,154.07,0.42
36,153.71,0.4075
37,154.37,0.3925
38,150.6,0.4125
39,150.6,0.3625
40,150.18,0.3925
41,154.66,0.4
42,153.31,0.385
43,148.91,0.4025
44,152.69,0.3925
45,152.48,0.3975
46,154.36,0.435
47,151.0,0.3875
48,151.31,0.3925
49,154.97,0.4225
50,152.62,0.4325
51,145.41,0.385
52,154.69,0.4325
53,154.33,0.445
54,151.0,0.3775
55,152.34,0.4125
56,154.87,0.45
57,153.46,0.4425
58,153.34,0.415
59,154.55,0.385
60,155.44,0.43
61,151.59,0.385
62,154.47,0.4375
63,157.12,0.435
64,152.23,0.4425
65,156.01,0.4025
66,152.75,0.4
67,149.15,0.385
68,154.79,0.4175
69,156.44,0.4125
70,160.55,0.45
71,156.03,0.425
72,153.55,0.39
73,155.38,0.4375
74,154.24,0.4
75,159.4,0.46
76,157.5,0.42
77,158.03,0.4325
78,151.32,0.3975
79,153.74,0.4525
80,156.87,0.455
81,155.83,0.415
82,156.01,0.4725
83,156.63,0.415
84,153.28,0.4425
85,155.44,0.425
86,156.65,0.4275
87,158.62,0.425
88,156.85,0.445
89,160.14,0.4575
90,156.47,0.4
91,155.86,0.4125
92,157.76,0.4275
93,158.94,0.41
94,156.25,0.4025
95,158.04,0.4075
96,157.0,0.42
97,152.57,0.375
98,161.06,0.48
99,160.45,0.4375
100,158.71,0.445
