cycle,loss,loss_policy,loss_value
1,1.7238,1.33647,0.38733
2,1.68581,1.34397,0.34185
3,1.69641,1.34247,0.35394
4,1.70017,1.33665,0.36352
5,1.70467,1.33347,0.3712
6,1.7106,1.32894,0.38165
7,1.71565,1.32453,0.39112
8,1.72242,1.32044,0.40198
9,1.72176,1.31818,0.40359
10,1.72211,1.3163,0.40581
11,1.74388,1.31562,0.42826
12,1.74819,1.30743,0.44076
13,1.74937,1.29994,0.44943
14,1.74588,1.29579,0.45008
15,1.74308,1.29279,0.45029
16,1.74826,1.28996,0.4583
17,1.73669,1.285,0.45169
18,1.7227,1.28318,0.43952
19,1.71218,1.28088,0.4313
20,1.70466,1.28052,0.42414
21,1.70645,1.27862,0.42783
22,1.69212,1.27364,0.41848
23,1.67994,1.2695,0.41043
24,1.67494,1.26667,0.40827
25,1.68353,1.26597,0.41756
26,1.68525,1.26702,0.41824
27,1.69101,1.26791,0.4231
28,1.67518,1.26265,0.41253
29,1.6694,1.26154,0.40786
30,1.6633,1.25837,0.40493
31,1.66396,1.25856,0.4054
32,1.66789,1.26025,0.40764
33,1.65336,1.25789,0.39547
34,1.66041,1.26048,0.39993
35,1.66349,1.26262,0.40087
36,1.64733,1.2582,0.38913
37,1.65112,1.25796,0.39316
38,1.6393,1.25633,0.38297
39,1.64457,1.25803,0.38655
40,1.65249,1.25982,0.39267
41,1.643,1.25992,0.38308
42,1.65208,1.26183,0.39025
43,1.64395,1.25987,0.38408
44,1.65014,1.2604,0.38974
45,1.65604,1.26068,0.39536
46,1.64353,1.26235,0.38118
47,1.65139,1.26512,0.38628
48,1.6574,1.2655,0.3919
49,1.64071,1.26241,0.3783
50,1.64395,1.26108,0.38288
51,1.6488,1.26011,0.38868
52,1.63317,1.25912,0.37405
53,1.6343,1.25997,0.37433
54,1.62224,1.25487,0.36737
55,1.63088,1.25594,0.37494
56,1.63413,1.25347,0.38066
57,1.63633,1.2548,0.38153
58,1.64115,1.25516,0.38599
59,1.65062,1.25593,0.39469
60,1.62323,1.25097,0.37227
61,1.6288,1.25155,0.37725
62,1.63106,1.25109,0.37998
63,1.6378,1.25445,0.38335
64,1.61081,1.2495,0.36131
65,1.61909,1.25218,0.36691
66,1.60828,1.24965,0.35863
67,1.61841,1.2496,0.36881
68,1.6067,1.24743,0.35928
69,1.61616,1.25313,0.36303
70,1.62332,1.25667,0.36665
71,1.63003,1.25837,0.37166
72,1.61456,1.25352,0.36104
73,1.62216,1.25513,0.36704
74,1.63519,1.25808,0.37712
75,1.63843,1.25833,0.3801
76,1.61736,1.25675,0.36061
77,1.62205,1.25776,0.36429
78,1.62924,1.25847,0.37077
79,1.63263,1.25698,0.37564
80,1.63848,1.25603,0.38245
81,1.64541,1.25874,0.38667
82,1.61194,1.2547,0.35724
83,1.61953,1.25697,0.36256
84,1.62527,1.25752,0.36775
85,1.60483,1.2522,0.35263
86,1.60882,1.25353,0.3553
87,1.61871,1.25629,0.36242
88,1.60117,1.25411,0.34707
89,1.61156,1.25689,0.35467
90,1.62568,1.25963,0.36605
91,1.63732,1.26353,0.3738
92,1.64599,1.267,0.37899
93,1.62516,1.26279,0.36237
94,1.63677,1.26546,0.37131
95,1.62456,1.26266,0.3619
96,1.63625,1.26608,0.37017
97,1.64706,1.26436,0.3827
98,1.62566,1.26149,0.36417
99,1.63122,1.26188,0.36934
100,1.63646,1.2635,0.37297
