cycle,draws,white_wins,black_wins,no_progress
1,239,87,74,239
2,220,97,83,220
3,201,95,104,193
4,186,107,107,184
5,163,116,121,161
6,143,138,119,138
7,133,141,126,131
8,114,141,145,113
9,134,124,142,130
10,133,141,126,132
11,108,156,136,106
12,123,135,142,121
13,125,148,127,124
14,153,128,119,147
15,150,121,129,148
16,119,138,143,116
17,140,115,145,138
18,168,99,133,163
19,157,129,114,150
20,167,119,114,166
21,140,133,127,139
22,145,143,112,143
23,150,133,117,146
24,152,129,119,149
25,143,135,122,142
26,150,138,112,147
27,147,139,114,146
28,156,138,106,151
29,141,146,113,138
30,159,122,119,158
31,177,115,108,169
32,165,139,96,164
33,179,111,110,177
34,152,126,122,149
35,168,113,119,163
36,163,129,108,162
37,157,116,127,156
38,165,129,106,163
39,145,137,118,145
40,157,137,106,155
41,160,138,102,156
42,154,140,106,150
43,161,124,115,160
44,157,133,110,151
45,159,127,114,157
46,174,124,102,174
47,155,121,124,153
48,157,120,123,154
49,169,133,98,168
50,173,134,93,170
51,154,128,118,150
52,173,124,103,169
53,178,125,97,173
54,151,138,111,149
55,165,129,106,163
56,180,124,96,178
57,177,126,97,175
58,166,128,106,160
59,154,137,109,145
60,172,115,113,169
61,154,111,135,151
62,175,136,89,170
63,174,123,103,166
64,177,119,104,173
65,161,130,109,159
66,160,133,107,159
67,154,147,99,150
68,167,126,107,160
69,165,123,112,157
70,180,123,97,175
71,170,120,110,168
72,156,126,118,150
73,175,110,115,172
74,160,133,107,153
75,184,107,109,176
76,168,119,113,162
77,173,103,124,167
78,159,134,107,157
79,181,116,103,176
80,182,122,96,178
81,166,124,110,161
82,189,111,100,181
83,166,120,114,162
84,177,114,109,174
85,170,131,99,163
86,171,116,113,160
87,170,124,106,166
88,178,112,110,172
89,183,112,105,179
90,160,135,105,156
91,165,128,107,157
92,171,127,102,166
93,164,113,123,155
94,161,123,116,156
95,163,131,106,157
96,168,136,96,165
97,150,115,135,147
98,192,111,97,185
99,175,126,99,172
100,178,123,99,171
