cycle,selfplay,train,arena,eval
1,83.82,1.29,14.72,0.0
2,84.59,1.88,13.31,0.0
3,71.69,2.12,26.01,0.0
4,49.87,1.9,48.1,0.0
5,46.85,2.48,50.53,0.0
6,52.86,3.3,43.7,0.0
7,30.79,2.27,66.82,0.0
8,50.67,4.38,44.73,0.0
9,45.92,4.4,49.49,0.0
10,20.63,2.16,71.38,5.74
11,51.74,5.22,42.64,0.0
12,74.96,9.34,15.52,0.0
13,53.37,6.28,40.14,0.0
14,25.16,2.8,71.95,0.0
15,24.38,2.56,72.97,0.0
16,30.95,3.62,65.3,0.0
17,35.0,4.04,60.83,0.0
18,49.66,4.84,45.3,0.0
19,42.29,4.94,52.62,0.0
20,16.77,1.77,20.06,61.33
21,25.14,2.91,71.85,0.0
22,49.65,4.95,45.25,0.0
23,34.26,3.77,61.85,0.0
24,24.27,2.54,73.1,0.0
25,23.12,2.54,74.25,0.0
26,28.99,3.07,67.83,0.0
27,34.87,4.0,61.02,0.0
28,27.87,3.33,68.69,0.0
29,46.28,5.33,48.2,0.0
30,20.9,2.25,54.25,22.52
31,26.12,2.77,71.0,0.0
32,35.37,3.87,60.62,0.0
33,25.94,2.68,71.28,0.0
34,31.39,3.36,65.13,0.0
35,30.33,3.24,66.32,0.0
36,26.21,2.76,70.93,0.0
37,62.93,6.44,30.41,0.0
38,35.01,3.65,61.21,0.0
39,25.82,2.76,71.32,0.0
40,15.99,1.74,30.14,52.08
41,39.34,4.11,56.41,0.0
42,40.04,4.19,55.62,0.0
43,44.46,4.89,50.55,0.0
44,25.44,2.66,71.81,0.0
45,39.04,4.21,56.59,0.0
46,26.4,2.68,70.83,0.0
47,25.37,2.74,71.79,0.0
48,39.86,4.38,55.66,0.0
49,36.65,3.87,59.39,0.0
50,22.34,2.37,42.27,32.93
51,42.97,4.86,52.0,0.0
52,50.14,5.18,44.5,0.0
53,49.93,5.31,44.57,0.0
54,25.72,2.76,71.43,0.0
55,25.51,2.78,71.62,0.0
56,25.14,2.71,72.05,0.0
57,25.29,2.75,71.87,0.0
58,57.2,6.16,36.43,0.0
59,31.38,3.22,65.29,0.0
60,14.13,1.5,13.93,70.39
61,42.97,4.69,52.18,0.0
62,25.94,2.71,71.25,0.0
63,38.72,3.99,57.15,0.0
64,27.47,2.92,69.51,0.0
65,41.36,4.21,54.29,0.0
66,24.31,2.66,72.94,0.0
67,30.94,3.32,65.62,0.0
68,26.49,2.69,70.73,0.0
69,26.02,2.69,71.2,0.0
70,18.45,1.88,51.32,28.31
71,55.83,5.88,38.09,0.0
72,25.84,2.66,71.4,0.0
73,51.48,5.4,42.93,0.0
74,40.75,4.31,54.79,0.0
75,27.25,2.79,69.86,0.0
76,30.76,3.25,65.89,0.0
77,27.35,2.69,69.87,0.0
78,32.37,3.42,64.09,0.0
79,24.75,2.64,72.51,0.0
80,14.27,1.45,40.14,44.09
81,36.41,3.85,59.61,0.0
82,23.54,2.7,73.68,0.0
83,25.28,2.5,72.14,0.0
84,37.64,4.14,58.07,0.0
85,41.19,3.94,54.74,0.0
86,25.16,2.36,72.4,0.0
87,46.93,4.58,48.26,0.0
88,26.28,2.59,71.04,0.0
89,23.07,2.4,74.45,0.0
90,18.42,1.72,52.72,27.04
91,24.53,3.47,71.91,0.0
92,33.13,3.37,63.39,0.0
93,56.63,4.35,38.84,0.0
94,27.57,2.83,69.5,0.0
95,42.35,4.34,53.15,0.0
96,25.54,2.71,71.65,0.0
97,23.84,2.5,73.57,0.0
98,24.36,2.65,72.91,0.0
99,28.38,2.11,69.34,0.0
100,12.87,1.24,33.96,51.88
