rank_pct,peak,final,result,durable
0.0,2,2,WIN,no
3.45,2,2,WIN,no
6.9,2,2,WIN,no
10.34,2,2,WIN,yes
13.79,2,2,WIN,no
17.24,2,2,WIN,no
20.69,2,2,WIN,no
24.14,3,3,WIN,yes
27.59,3,3,WIN,yes
31.03,3,3,WIN,yes
34.48,3,3,WIN,yes
37.93,3,3,WIN,no
41.38,3,3,WIN,yes
44.83,3,3,WIN,yes
48.28,4,3,WIN,yes
51.72,4,4,WIN,yes
55.17,4,4,WIN,no
58.62,4,4,WIN,yes
62.07,4,4,WIN,no
65.52,4,4,WIN,yes
68.97,4,4,WIN,no
72.41,4,4,WIN,yes
75.86,4,4,WIN,no
79.31,5,5,WIN,yes
82.76,5,5,WIN,yes
86.21,5,5,WIN,yes
89.66,5,5,WIN,yes
93.1,5,5,WIN,yes
96.55,6,6,WIN,yes
100.0,6,6,WIN,yes
