cycle,arena_score,promoted
1,0.8542,1
2,0.8958,1
3,0.5868,1
4,0.6667,1
5,0.5952,1
6,0.6302,1
7,0.4948,0
8,0.6667,1
9,0.5437,0
10,0.6458,1
11,0.5547,1
12,0.55,1
13,0.5917,1
14,0.5188,0
15,0.5718,1
16,0.5833,1
17,0.52,0
18,0.5938,1
19,0.5325,0
20,0.4968,0
21,0.5938,1
22,0.3889,0
23,0.525,0
24,0.5506,1
25,0.6198,1
26,0.5162,0
27,0.5573,1
28,0.505,0
29,0.5587,1
30,0.4943,0
31,0.5325,0
32,0.5764,1
33,0.5375,0
34,0.5375,0
35,0.5042,0
36,0.5375,0
37,0.5833,1
38,0.4097,0
39,0.4815,0
40,0.5677,1
41,0.5958,1
42,0.5513,1
43,0.4542,0
44,0.5238,0
45,0.5,0
46,0.5833,1
47,0.545,1
48,0.51,0
49,0.5312,0
50,0.6302,1
51,0.4821,0
52,0.4896,0
53,0.5375,0
54,0.5238,0
55,0.5875,1
56,0.4613,0
57,0.6042,1
58,0.4097,0
59,0.5,0
60,0.5062,0
61,0.5714,1
62,0.4983,0
63,0.5,0
64,0.4625,0
65,0.5764,1
66,0.5112,0
67,0.5014,0
68,0.5288,0
69,0.5425,0
70,0.487,0
71,0.5506,1
72,0.5288,0
73,0.5312,0
74,0.5262,0
75,0.5542,1
76,0.4542,0
77,0.53,0
78,0.4653,0
79,0.5685,1
80,0.53,0
81,0.4688,0
82,0.5088,0
83,0.5288,0
84,0.5764,1
85,0.4818,0
86,0.5138,0
87,0.5162,0
88,0.52,0
89,0.5325,0
90,0.4958,0
91,0.5463,1
92,0.4762,0
93,0.5015,0
94,0.5112,0
95,0.6042,1
96,0.5162,0
97,0.525,0
98,0.4905,0
99,0.5238,0
100,0.5112,0
101,0.5275,0
102,0.5514,1
103,0.5,0
104,0.5262,0
105,0.5238,0
106,0.5062,0
107,0.5667,1
108,0.5175,0
109,0.4479,0
110,0.4769,0
111,0.5625,1
112,0.4818,0
113,0.5112,0
114,0.5075,0
115,0.5703,1
116,0.4762,0
117,0.4818,0
118,0.553,1
119,0.5112,0
120,0.5225,0
121,0.4931,0
122,0.6875,1
123,0.5337,0
124,0.4792,0
125,0.5437,1
126,0.4625,0
127,0.5312,0
128,0.4818,0
129,0.5238,0
130,0.5075,0
131,0.5,0
132,0.5923,1
133,0.4984,0
134,0.4714,0
135,0.5437,1
136,0.4688,0
137,0.6389,1
138,0.4167,0
139,0.4427,0
140,0.503,0
141,0.5513,1
142,0.5262,0
143,0.5363,0
144,0.5262,0
145,0.51,0
146,0.5387,0
147,0.5602,1
148,0.5685,1
149,0.5694,1
150,0.51,0
151,0.5563,1
152,0.5175,0
153,0.5275,0
154,0.4479,0
155,0.5625,1
156,0.5425,1
157,0.4792,0
158,0.5175,0
159,0.5175,0
160,0.5363,0
161,0.4062,0
162,0.5568,1
163,0.52,0
164,0.5075,0
165,0.4896,0
166,0.5188,0
167,0.5568,1
168,0.4938,0
169,0.4688,0
170,0.5188,0
171,0.5729,1
172,0.4583,0
173,0.625,1
174,0.4965,0
175,0.515,0
176,0.4952,0
177,0.5549,1
178,0.515,0
179,0.5312,0
180,0.4531,0
181,0.5476,1
182,0.5016,0
183,0.4236,0
184,0.5599,1
185,0.4375,0
186,0.515,0
187,0.5325,0
188,0.4542,0
189,0.5556,1
190,0.5015,0
191,0.4618,0
192,0.5958,1
193,0.4896,0
194,0.5162,0
195,0.4479,0
196,0.4896,0
197,0.5,0
198,0.5579,1
199,0.4851,0
200,0.5,0
