cycle,arena_share,arena_s,dist_parity,promoted
1,12.05,33.6,0.3542,1
2,12.05,37.3,0.3958,1
3,55.38,360.2,0.0868,1
4,23.75,110.5,0.1667,1
5,52.72,394.4,0.0952,1
6,39.75,223.3,0.1302,1
7,72.72,952.9,0.0052,0
8,30.87,161.5,0.1667,1
9,72.67,1001.4,0.0437,0
10,30.99,196.7,0.1458,1
11,71.52,973.8,0.0547,1
12,69.09,868.7,0.05,1
13,43.06,297.0,0.0917,1
14,72.43,1003.1,0.0188,0
15,59.06,534.7,0.0718,1
16,49.94,401.1,0.0833,1
17,71.61,1071.3,0.02,0
18,45.77,337.8,0.0938,1
19,72.29,1042.3,0.0325,0
20,36.53,819.4,0.0032,0
21,48.54,374.9,0.0938,1
22,32.49,186.5,0.1111,0
23,71.11,1009.6,0.025,0
24,67.68,834.2,0.0506,1
25,38.36,252.9,0.1198,1
26,70.56,1020.8,0.0162,0
27,65.55,733.5,0.0573,1
28,71.3,1053.7,0.005,0
29,64.1,704.5,0.0587,1
30,46.24,679.9,0.0057,0
31,72.58,1042.7,0.0325,0
32,47.54,377.6,0.0764,1
33,72.36,1058.5,0.0375,0
34,72.27,1055.1,0.0375,0
35,68.89,909.5,0.0042,0
36,72.43,1054.4,0.0375,0
37,44.09,327.8,0.0833,1
38,30.85,181.2,0.0903,0
39,57.98,547.7,0.0185,0
40,23.41,499.8,0.0677,1
41,43.74,309.4,0.0958,1
42,66.28,795.0,0.0513,1
43,41.26,291.2,0.0458,0
44,72.47,1077.5,0.0238,0
45,67.38,830.8,0.0,0
46,43.61,323.4,0.0833,1
47,71.48,1004.4,0.045,1
48,72.59,1068.8,0.01,0
49,71.09,1058.5,0.0312,0
50,20.14,242.2,0.1302,1
51,49.71,408.3,0.0179,0
52,60.83,632.9,0.0104,0
53,72.49,1079.9,0.0375,0
54,71.86,1032.2,0.0238,0
55,43.24,303.7,0.0875,1
56,49.25,400.6,0.0387,0
57,33.15,200.5,0.1042,1
58,29.8,174.6,0.0903,0
59,67.3,835.0,0.0,0
60,31.29,1075.7,0.0062,0
61,50.48,433.1,0.0714,1
62,63.44,714.5,0.0017,0
63,69.08,938.6,0.0,0
64,43.2,310.0,0.0375,0
65,47.14,371.0,0.0764,1
66,71.28,1003.3,0.0112,0
67,68.66,924.6,0.0014,0
68,71.46,1027.7,0.0288,0
69,72.55,1056.2,0.0425,0
70,33.91,499.7,0.013,0
71,67.79,860.1,0.0506,1
72,72.21,1051.5,0.0288,0
73,72.41,1093.1,0.0312,0
74,71.4,1055.9,0.0262,0
75,60.84,652.6,0.0542,1
76,43.62,311.9,0.0458,0
77,73.2,1082.3,0.03,0
78,48.73,382.0,0.0347,0
79,52.59,449.8,0.0685,1
