cycle,plies_mean,draw_rate
1,120.64,0.5975
2,135.29,0.56
3,141.11,0.4925
4,138.0,0.4525
5,139.91,0.38
6,134.51,0.3325
7,138.12,0.3575
8,136.68,0.3175
9,142.2,0.3325
10,141.64,0.325
11,145.5,0.3475
12,145.43,0.3625
13,144.12,0.325
14,144.67,0.32
15,142.26,0.33
16,150.92,0.375
17,151.95,0.3975
18,150.93,0.385
19,149.06,0.3675
20,145.26,0.36
21,151.86,0.4
22,147.45,0.3425
23,150.88,0.4
24,148.06,0.3375
25,152.08,0.39
26,153.32,0.3625
27,146.37,0.36
28,154.03,0.4025
29,148.35,0.375
30,153.11,0.4125
31,150.93,0.4
32,156.1,0.44
33,149.66,0.38
34,152.04,0.4225
35,155.63,0.4625
36,152.01,0.43
37,157.06,0.41
38,153.04,0.4475
39,151.05,0.3975
40,150.54,0.4275
41,150.46,0.4175
42,151.22,0.3925
43,154.25,0.3875
44,153.48,0.4325
45,150.44,0.3975
46,157.11,0.445
47,147.69,0.3775
48,153.59,0.435
49,160.04,0.4375
50,153.07,0.405
51,156.34,0.415
52,152.44,0.45
53,151.7,0.4375
54,148.37,0.3725
55,150.62,0.395
56,153.9,0.435
57,152.79,0.4075
58,155.78,0.4225
59,154.91,0.425
60,156.49,0.42
61,157.0,0.4325
62,152.32,0.405
63,157.57,0.4175
64,152.66,0.3925
65,155.87,0.41
66,149.79,0.365
67,159.62,0.4375
68,152.72,0.395
69,152.8,0.385
70,154.54,0.4
71,156.65,0.43
72,152.03,0.4425
73,154.31,0.45
74,157.75,0.4525
75,158.53,0.4675
76,154.78,0.4275
77,150.5,0.4325
78,150.5,0.4
79,151.05,0.41
80,159.32,0.4325
81,158.27,0.4525
82,155.15,0.41
83,154.89,0.4325
84,149.98,0.3925
85,154.87,0.4225
86,151.76,0.3975
87,156.11,0.4375
88,152.94,0.425
89,158.19,0.475
90,154.94,0.4625
91,155.65,0.4525
92,155.41,0.4125
93,163.42,0.455
94,155.83,0.4475
95,154.49,0.4175
96,158.12,0.46
97,155.42,0.37
98,159.47,0.4225
99,156.18,0.4025
100,152.42,0.3925
101,160.16,0.395
102,154.55,0.3975
103,157.07,0.4225
104,159.29,0.4225
105,155.49,0.4175
106,159.08,0.4675
107,161.81,0.4875
108,155.06,0.42
109,159.05,0.4075
110,153.89,0.4175
111,160.43,0.4675
112,156.49,0.4575
113,159.77,0.44
114,155.84,0.4475
115,155.46,0.4525
116,157.6,0.435
117,155.71,0.43
118,157.79,0.465
119,161.45,0.455
120,160.99,0.455
121,156.42,0.405
122,157.22,0.44
123,165.0,0.5225
124,157.52,0.4125
125,158.03,0.475
126,162.24,0.4375
127,162.29,0.465
128,158.42,0.4375
129,165.08,0.4525
130,160.35,0.4475
131,162.44,0.42
132,159.21,0.3975
133,157.31,0.4575
134,157.33,0.4475
135,162.12,0.4825
136,156.24,0.44
137,159.47,0.4325
138,156.68,0.48
139,160.33,0.42
140,158.63,0.41
141,155.31,0.3725
142,161.99,0.45
143,162.07,0.4875
144,162.94,0.4725
145,159.98,0.4525
146,162.25,0.51
147,157.25,0.4325
148,159.43,0.45
149,164.63,0.475
150,160.97,0.42
151,161.22,0.4625
152,163.39,0.4775
153,159.22,0.4575
154,162.18,0.4775
155,164.51,0.4625
156,159.7,0.4275
157,156.09,0.425
158,160.95,0.405
159,162.95,0.46
160,159.86,0.4525
161,162.94,0.48
162,162.41,0.43
163,158.09,0.4225
164,160.79,0.4525
165,158.23,0.45
166,157.59,0.4175
167,160.36,0.4425
168,163.72,0.5075
169,164.61,0.4625
170,162.19,0.465
171,161.82,0.48
172,161.79,0.425
173,162.38,0.45
174,161.67,0.46
175,155.7,0.3975
176,161.43,0.4525
177,161.38,0.425
178,165.22,0.4875
179,155.76,0.4525
180,162.12,0.48
181,164.99,0.4875
182,159.08,0.4375
183,164.16,0.4375
184,161.95,0.465
185,158.54,0.4375
186,160.34,0.415
187,162.42,0.49
188,160.85,0.455
189,163.41,0.485
190,161.87,0.4475
191,161.94,0.405
192,164.96,0.49
193,162.26,0.4375
194,161.72,0.3975
195,154.66,0.4
196,161.22,0.495
197,157.84,0.4575
198,161.74,0.425
199,163.51,0.5175
200,169.06,0.4875
