cycle,loss,loss_policy,loss_value
1,1.72213,1.33464,0.38749
2,1.67919,1.3404,0.33878
3,1.69943,1.34247,0.35696
4,1.71392,1.33893,0.37499
5,1.70752,1.32862,0.3789
6,1.70957,1.32357,0.386
7,1.70988,1.32169,0.38818
8,1.73483,1.32307,0.41176
9,1.73226,1.32103,0.41123
10,1.74601,1.31963,0.42638
11,1.74017,1.31482,0.42534
12,1.74317,1.31047,0.4327
13,1.74813,1.30484,0.44329
14,1.74798,1.29997,0.44801
15,1.75954,1.30059,0.45895
16,1.74799,1.29679,0.4512
17,1.7387,1.29472,0.44398
18,1.73748,1.2932,0.44428
19,1.72225,1.28635,0.4359
20,1.72447,1.28549,0.43898
21,1.72539,1.28612,0.43926
22,1.71289,1.28183,0.43106
23,1.71156,1.27896,0.4326
24,1.7137,1.2784,0.4353
25,1.69711,1.27599,0.42111
26,1.69065,1.27482,0.41583
27,1.69641,1.27436,0.42206
28,1.68929,1.27391,0.41539
29,1.69622,1.27699,0.41923
30,1.68637,1.27601,0.41036
31,1.69098,1.27644,0.41453
32,1.69091,1.27661,0.41431
33,1.68195,1.27494,0.40701
34,1.68053,1.27599,0.40454
35,1.67651,1.27363,0.40288
36,1.67637,1.27248,0.40388
37,1.67812,1.2726,0.40552
38,1.65601,1.26827,0.38774
39,1.65924,1.27017,0.38907
40,1.66407,1.27186,0.39221
41,1.64966,1.2693,0.38036
42,1.64818,1.26889,0.37929
43,1.64415,1.26692,0.37724
44,1.65568,1.27083,0.38485
45,1.66551,1.26947,0.39604
46,1.6743,1.27481,0.39949
47,1.6637,1.27224,0.39146
48,1.65686,1.27203,0.38482
49,1.66357,1.2731,0.39047
50,1.67023,1.27488,0.39535
51,1.65902,1.27062,0.3884
52,1.65826,1.26938,0.38888
53,1.65758,1.27013,0.38745
54,1.66252,1.26824,0.39427
55,1.66708,1.26765,0.39943
56,1.64901,1.26442,0.38459
57,1.65559,1.26692,0.38867
58,1.64336,1.26418,0.37918
59,1.64694,1.26373,0.38322
60,1.65391,1.26624,0.38767
61,1.66122,1.27032,0.39089
62,1.64706,1.26764,0.37942
63,1.65412,1.26828,0.38584
64,1.65733,1.26845,0.38888
65,1.66082,1.2684,0.39242
66,1.64653,1.26195,0.38458
67,1.64701,1.26093,0.38608
68,1.65283,1.26055,0.39228
69,1.66186,1.25948,0.40237
70,1.66571,1.25704,0.40867
71,1.6683,1.25617,0.41213
72,1.64219,1.25138,0.39081
73,1.64485,1.25279,0.39205
74,1.64531,1.25388,0.39143
75,1.64482,1.25409,0.39072
76,1.6269,1.2538,0.3731
77,1.62824,1.25226,0.37598
78,1.63142,1.25116,0.38027
79,1.63147,1.25089,0.38058
80,1.61533,1.25049,0.36484
81,1.61946,1.25069,0.36877
82,1.62863,1.25405,0.37458
83,1.63581,1.25646,0.37935
84,1.6438,1.25773,0.38607
85,1.62669,1.25366,0.37303
86,1.63137,1.25364,0.37772
87,1.63799,1.25712,0.38087
88,1.64008,1.25784,0.38224
89,1.64055,1.25796,0.38259
90,1.64323,1.25838,0.38485
91,1.6441,1.26018,0.38392
92,1.61868,1.25177,0.36691
93,1.62427,1.25513,0.36914
94,1.6275,1.25566,0.37184
95,1.6332,1.2583,0.37489
96,1.60949,1.25448,0.35501
97,1.61925,1.2546,0.36465
98,1.62557,1.25518,0.37038
99,1.6325,1.25465,0.37785
100,1.63883,1.25577,0.38306
101,1.64535,1.25556,0.38978
102,1.64655,1.25452,0.39203
103,1.62344,1.25,0.37344
104,1.62991,1.25189,0.37802
105,1.63498,1.25261,0.38237
106,1.63833,1.25565,0.38268
107,1.63466,1.25596,0.3787
108,1.61386,1.25362,0.36024
109,1.6203,1.25637,0.36392
110,1.62549,1.25719,0.36829
111,1.62721,1.25901,0.36821
112,1.6063,1.25521,0.35109
113,1.61039,1.2558,0.35459
114,1.61259,1.2548,0.35779
115,1.61606,1.25295,0.3631
116,1.59952,1.24977,0.34976
117,1.609,1.2518,0.3572
118,1.61281,1.25442,0.35839
119,1.59584,1.25342,0.34243
120,1.6014,1.25213,0.34927
121,1.61315,1.25426,0.35889
122,1.61776,1.25495,0.36282
123,1.59596,1.25264,0.34332
124,1.60617,1.25531,0.35086
125,1.61057,1.25924,0.35133
126,1.59421,1.25602,0.33819
127,1.60248,1.25885,0.34363
128,1.6109,1.26042,0.35048
129,1.62013,1.26379,0.35634
130,1.62574,1.26623,0.3595
131,1.63115,1.26599,0.36516
132,1.64374,1.26628,0.37746
133,1.61094,1.26125,0.34969
134,1.61441,1.26123,0.35317
135,1.61774,1.26076,0.35698
