cycle,draws,white_wins,black_wins,no_progress
1,239,87,74,239
2,224,89,87,223
3,197,111,92,194
4,181,111,108,179
5,152,132,116,152
6,133,136,131,132
7,143,136,121,143
8,127,123,150,127
9,133,138,129,130
10,130,138,132,128
11,139,120,141,137
12,145,125,130,143
13,130,150,120,128
14,128,121,151,128
15,132,125,143,129
16,150,114,136,148
17,159,122,119,157
18,154,124,122,150
19,147,135,118,144
20,144,133,123,141
21,160,127,113,158
22,137,145,118,137
23,160,125,115,155
24,135,133,132,132
25,156,123,121,150
26,145,135,120,142
27,144,148,108,140
28,161,135,104,161
29,150,130,120,148
30,165,112,123,164
31,160,116,124,157
32,176,116,108,174
33,152,114,134,150
34,169,125,106,167
35,185,117,98,184
36,172,123,105,172
37,164,113,123,157
38,179,111,110,177
39,159,118,123,156
40,171,140,89,165
41,167,122,111,165
42,157,121,122,152
43,155,124,121,153
44,173,114,113,171
45,159,112,129,157
46,178,115,107,172
47,151,135,114,148
48,174,117,109,169
49,175,119,106,171
50,162,117,121,158
51,166,115,119,162
52,180,115,105,178
53,175,107,118,173
54,149,124,127,148
55,158,129,113,156
56,174,118,108,171
57,163,142,95,161
58,169,128,103,161
59,170,134,96,167
60,168,129,103,162
61,173,105,122,169
62,162,138,100,159
63,167,122,111,166
64,157,125,118,154
65,164,119,117,161
66,146,125,129,144
67,175,127,98,170
68,158,120,122,153
69,154,139,107,152
70,160,124,116,158
71,172,105,123,165
72,177,125,98,173
73,180,109,111,178
74,181,123,96,180
75,187,110,103,183
76,171,127,102,170
77,173,124,103,170
78,160,122,118,158
79,164,120,116,162
80,173,117,110,170
81,181,116,103,178
82,164,128,108,161
83,173,113,114,168
84,157,136,107,153
85,169,125,106,163
86,159,143,98,157
87,175,121,104,168
88,170,127,103,164
89,190,106,104,186
90,185,113,102,181
91,181,111,108,177
92,165,129,106,161
93,182,121,97,178
94,179,105,116,175
95,167,130,103,164
96,184,104,112,177
97,148,134,118,142
98,169,135,96,157
99,161,110,129,156
100,157,142,101,152
101,158,129,113,143
102,159,125,116,155
103,169,128,103,164
104,169,116,115,166
105,167,118,115,161
106,187,107,106,180
107,195,118,87,190
108,168,122,110,168
109,163,120,117,156
110,167,127,106,159
111,187,107,106,181
112,183,108,109,175
113,176,124,100,166
114,179,119,102,172
115,181,118,101,177
116,174,110,116,171
117,172,105,123,168
118,186,111,103,182
119,182,118,100,173
120,182,118,100,176
121,162,132,106,154
122,176,127,97,168
123,209,98,93,208
124,165,122,113,157
125,190,106,104,187
126,175,111,114,171
127,186,109,105,180
128,175,102,123,167
129,181,125,94,174
130,179,123,98,171
131,168,118,114,163
132,159,108,133,153
133,183,109,108,176
134,179,101,120,177
135,193,96,111,185
136,176,114,110,170
137,173,107,120,163
138,192,108,100,189
139,168,120,112,163
140,164,128,108,157
141,149,134,117,143
142,180,125,95,174
143,195,114,91,187
144,189,113,98,179
145,181,116,103,172
146,204,109,87,195
147,173,129,98,167
148,180,109,111,178
149,190,105,105,187
150,168,122,110,163
151,185,116,99,175
152,191,102,107,183
153,183,108,109,174
154,191,111,98,184
155,185,123,92,174
156,171,123,106,165
157,170,109,121,162
158,162,121,117,153
159,184,122,94,179
160,181,115,104,171
161,192,111,97,185
162,172,123,105,164
163,169,125,106,164
164,181,118,101,175
165,180,121,99,177
166,167,128,105,163
167,177,104,119,171
168,203,101,96,196
169,185,123,92,175
170,186,102,112,182
171,192,106,102,186
172,170,122,108,165
173,180,99,121,177
174,184,111,105,178
175,159,135,106,155
176,181,122,97,175
177,170,132,98,161
178,195,105,100,188
179,181,114,105,176
180,192,115,93,185
181,195,97,108,187
182,175,106,119,165
183,175,116,109,164
184,186,113,101,177
185,175,119,106,163
186,166,117,117,161
187,196,107,97,186
188,182,107,111,177
189,194,117,89,187
190,179,125,96,176
191,162,111,127,152
192,196,106,98,189
193,175,130,95,169
194,159,125,116,151
195,160,120,120,157
196,198,103,99,196
197,183,115,102,177
198,170,116,114,163
199,207,97,96,201
200,195,113,92,189
