cycle,selfplay,train,arena,eval
1,86.25,1.53,12.05,0.0
2,85.8,1.9,12.05,0.0
3,43.11,1.39,55.38,0.0
4,73.04,2.96,23.75,0.0
5,44.84,2.31,52.72,0.0
6,56.33,3.69,39.75,0.0
7,25.3,1.87,72.72,0.0
8,63.54,5.34,30.87,0.0
9,24.95,2.29,72.67,0.0
10,53.91,5.66,30.99,9.21
11,25.5,2.89,71.52,0.0
12,27.74,3.06,69.09,0.0
13,51.15,5.59,43.06,0.0
14,24.64,2.84,72.43,0.0
15,36.53,4.27,59.06,0.0
16,45.16,4.74,49.94,0.0
17,25.68,2.63,71.61,0.0
18,48.59,5.47,45.77,0.0
19,24.85,2.76,72.29,0.0
20,15.16,1.76,36.53,46.49
21,46.31,4.97,48.54,0.0
22,60.56,6.73,32.49,0.0
23,26.14,2.66,71.11,0.0
24,29.1,3.12,67.68,0.0
25,55.66,5.78,38.36,0.0
26,26.72,2.63,70.56,0.0
27,30.89,3.45,65.55,0.0
28,26.01,2.6,71.3,0.0
29,32.18,3.6,64.1,0.0
30,24.59,2.67,46.24,26.43
31,24.49,2.84,72.58,0.0
32,47.21,5.07,47.54,0.0
33,24.93,2.62,72.36,0.0
34,24.99,2.65,72.27,0.0
35,28.04,2.95,68.89,0.0
36,24.83,2.65,72.43,0.0
37,50.56,5.18,44.09,0.0
38,62.35,6.57,30.85,0.0
39,37.7,4.19,57.98,0.0
40,16.53,1.81,23.41,58.18
41,50.6,5.47,43.74,0.0
42,30.4,3.21,66.28,0.0
43,52.81,5.74,41.26,0.0
44,24.77,2.68,72.47,0.0
45,29.31,3.2,67.38,0.0
46,50.99,5.22,43.61,0.0
47,25.65,2.77,71.48,0.0
48,24.74,2.62,72.59,0.0
49,26.2,2.62,71.09,0.0
50,30.73,3.31,20.14,45.7
51,45.46,4.67,49.71,0.0
52,35.28,3.75,60.83,0.0
53,24.81,2.62,72.49,0.0
54,25.33,2.72,71.86,0.0
55,51.09,5.47,43.24,0.0
56,45.74,4.87,49.25,0.0
57,60.04,6.6,33.15,0.0
58,63.21,6.76,29.8,0.0
59,29.51,3.09,67.3,0.0
60,10.92,1.17,31.29,56.58
61,44.81,4.55,50.48,0.0
62,32.92,3.52,63.44,0.0
63,27.91,2.92,69.08,0.0
64,51.11,5.52,43.2,0.0
65,47.71,4.97,47.14,0.0
66,25.84,2.79,71.28,0.0
67,28.35,2.92,68.66,0.0
68,25.69,2.75,71.46,0.0
69,24.68,2.69,72.55,0.0
70,24.98,2.66,33.91,38.36
71,29.02,3.08,67.79,0.0
72,25.07,2.62,72.21,0.0
73,24.92,2.59,72.41,0.0
74,25.88,2.63,71.4,0.0
75,35.44,3.64,60.84,0.0
76,50.69,5.5,43.62,0.0
77,24.03,2.67,73.2,0.0
78,46.21,4.89,48.73,0.0
79,42.77,4.49,52.59,0.0
80,14.11,1.48,38.71,45.66
81,46.66,4.68,48.49,0.0
82,25.87,2.7,71.34,0.0
83,25.19,2.68,72.05,0.0
84,47.84,5.19,46.8,0.0
85,40.99,4.41,54.46,0.0
86,24.15,2.66,73.1,0.0
87,26.05,2.52,71.34,0.0
88,25.54,2.62,71.74,0.0
89,26.49,2.69,70.72,0.0
90,22.83,2.46,39.71,34.91
91,26.03,2.74,71.13,0.0
92,42.44,4.29,53.12,0.0
93,29.33,3.01,67.55,0.0
94,24.77,2.56,72.58,0.0
95,56.05,5.91,37.85,0.0
96,25.85,2.73,71.33,0.0
97,26.36,2.73,70.82,0.0
98,34.33,3.55,62.0,0.0
99,24.81,2.58,72.53,0.0
100,13.04,1.38,38.69,46.84
101,24.73,2.59,72.59,0.0
102,26.58,2.83,70.52,0.0
103,31.33,3.21,65.35,0.0
104,25.92,2.71,71.28,0.0
105,25.11,2.76,72.03,0.0
106,26.25,2.56,71.13,0.0
107,38.33,3.84,57.69,0.0
108,25.02,2.61,72.28,0.0
109,54.76,5.65,39.41,0.0
110,24.21,2.52,33.78,39.41
111,40.01,4.25,55.59,0.0
112,39.85,4.23,55.78,0.0
113,25.34,2.51,72.06,0.0
114,25.34,2.61,71.96,0.0
115,39.79,4.27,55.8,0.0
116,44.69,4.54,50.61,0.0
117,39.78,4.09,55.99,0.0
118,33.07,3.34,63.48,0.0
119,25.23,2.53,72.15,0.0
120,11.2,1.17,31.8,55.78
121,32.91,3.34,63.68,0.0
122,70.11,7.25,22.38,0.0
123,27.02,2.66,70.23,0.0
124,44.27,4.62,50.96,0.0
125,25.36,2.61,71.94,0.0
126,52.17,5.43,42.21,0.0
127,25.47,2.53,71.92,0.0
128,40.84,4.29,54.72,0.0
129,26.13,2.56,71.22,0.0
130,18.53,1.83,51.32,28.26
131,31.14,3.11,65.65,0.0
132,44.62,4.73,50.51,0.0
133,30.28,3.11,66.49,0.0
134,39.17,4.18,56.53,0.0
135,25.45,2.59,71.87,0.0
136,45.86,4.9,49.07,0.0
137,61.29,6.32,32.17,0.0
138,62.0,6.32,31.46,0.0
139,56.24,5.87,37.71,0.0
140,14.93,1.56,35.33,48.12
141,29.54,3.15,67.2,0.0
142,26.54,2.62,70.75,0.0
143,26.26,2.73,70.92,0.0
144,26.17,2.54,71.21,0.0
145,25.03,2.46,72.43,0.0
146,26.26,2.6,71.04,0.0
147,37.37,3.86,58.65,0.0
148,43.52,4.43,51.89,0.0
149,47.77,4.77,47.31,0.0
150,18.6,1.88,50.86,28.6
151,34.87,3.66,61.34,0.0
152,25.55,2.63,71.73,0.0
153,26.11,2.69,71.11,0.0
154,55.98,5.8,38.02,0.0
155,41.82,4.15,53.95,0.0
156,24.77,2.61,72.58,0.0
157,44.82,4.65,50.37,0.0
158,25.94,2.67,71.3,0.0
159,26.64,2.64,70.62,0.0
160,13.41,1.38,37.85,47.31
161,69.83,6.91,23.01,0.0
162,35.71,3.65,60.52,0.0
163,24.21,2.58,73.11,0.0
164,25.87,2.6,71.45,0.0
165,36.32,3.79,59.76,0.0
166,24.94,2.7,72.27,0.0
167,34.25,3.63,61.99,0.0
168,37.83,3.75,58.28,0.0
169,49.29,5.0,45.52,0.0
170,18.2,1.81,51.68,28.25
171,48.35,4.98,46.5,0.0
172,47.93,5.07,46.85,0.0
173,62.41,6.45,30.93,0.0
174,32.95,3.41,63.52,0.0
175,25.82,2.66,71.46,0.0
176,30.85,3.12,65.92,0.0
177,35.1,3.57,61.2,0.0
178,26.17,2.65,71.09,0.0
179,24.93,2.6,72.38,0.0
180,14.94,1.47,9.66,73.88
181,29.36,2.92,67.62,0.0
182,30.22,3.03,66.64,0.0
183,63.77,6.28,29.75,0.0
184,41.84,4.32,53.69,0.0
185,60.86,6.4,32.51,0.0
186,25.93,2.63,71.35,0.0
187,25.13,2.54,72.24,0.0
188,52.57,5.16,42.16,0.0
189,38.32,3.8,57.8,0.0
190,20.36,2.06,45.58,31.93
191,47.9,4.84,47.1,0.0
192,52.24,5.25,42.34,0.0
193,33.32,3.3,63.26,0.0
194,24.8,2.55,72.56,0.0
195,55.96,6.02,37.82,0.0
196,36.02,4.01,59.84,0.0
197,31.59,3.59,64.72,0.0
198,38.36,3.83,57.67,0.0
199,44.96,4.37,50.5,0.0
