rank_pct,peak,final,result,durable
0.0,0,-5,LOSS,no
2.04,0,-5,LOSS,no
4.08,0,-3,LOSS,no
6.12,0,-3,LOSS,no
8.16,0,-3,LOSS,no
10.2,0,-3,LOSS,no
12.24,0,-3,LOSS,no
14.29,0,-3,LOSS,no
16.33,0,-3,LOSS,no
18.37,0,-2,LOSS,no
20.41,0,-2,LOSS,no
22.45,0,-2,LOSS,no
24.49,0,-2,LOSS,no
26.53,0,-1,DRAW,no
28.57,0,-1,DRAW,no
30.61,0,-1,DRAW,no
32.65,0,0,DRAW,no
34.69,0,0,DRAW,no
36.73,0,0,DRAW,no
38.78,0,0,DRAW,no
40.82,0,0,DRAW,no
42.86,0,0,DRAW,no
44.9,0,0,DRAW,no
46.94,1,-5,LOSS,no
48.98,1,-3,LOSS,no
51.02,1,-3,LOSS,no
53.06,1,-3,LOSS,no
55.1,1,-2,DRAW,no
57.14,1,-1,DRAW,no
59.18,1,-1,LOSS,no
61.22,1,-1,DRAW,no
63.27,1,-1,LOSS,no
65.31,1,-1,DRAW,no
67.35,1,-1,DRAW,no
69.39,1,-1,DRAW,no
71.43,1,0,DRAW,no
73.47,1,0,DRAW,no
75.51,1,0,DRAW,no
77.55,1,0,DRAW,no
79.59,1,0,DRAW,no
81.63,1,0,DRAW,no
83.67,1,0,DRAW,no
85.71,1,0,DRAW,no
87.76,1,0,DRAW,no
89.8,1,0,DRAW,no
91.84,1,0,DRAW,no
93.88,1,0,DRAW,no
95.92,1,1,DRAW,no
97.96,1,1,DRAW,no
100.0,2,-4,LOSS,no
